id,name,website,http_requests,flash_pieces,mobile_site,load_time,thumb,rank,actual_last_round
,,,,,,,,,
,,,http://yslow.org/,http://yslow.org/,manual,tools.pingdom.com,tools.pingdom.com,lowest wins,
,,,,,"1 = yes, 2 = optional, 3 = no",,,,
,Midwest,,,,,,,,
louisville,Louisville,http://www.gocards.com/,151,3,2,1.29,http://content.sportslogos.net/logos/32/734/thumbs/2515.gif,65,8
ncat,N.C. A&T,http://www.ncataggies.com/,162,3,1,2.44,http://content.sportslogos.net/logos/33/776/thumbs/ozen4wrgvfg9ihr086dw.gif,64,2
coloradost,Colorado St.,http://www.csurams.com/,148,7,3,1.96,http://content.sportslogos.net/logos/30/648/thumbs/9r1q0dwy7wdjqae9nn8ghwtu8.gif,-83,3
missouri,Missouri,http://www.mutigers.com/,135,3,3,1.94,http://content.sportslogos.net/logos/32/757/thumbs/70yox0z4pkkwwedhxgo92kp9f.gif,29,2
oklahomast,Oklahoma St.,http://www.okstate.com/,105,3,3,1.23,http://content.sportslogos.net/logos/33/794/thumbs/3pjgog0vs8brehugdqzh.gif,65,2
oregon,Oregon,http://www.goducks.com/,77,1,1,1.72,http://content.sportslogos.net/logos/33/797/thumbs/n0bre3gveatto1d2bqtzgkffg.gif,96,4
saintlouis,Saint Louis,http://www.slubillikens.com/,153,1,1,3.06,http://content.sportslogos.net/logos/34/822/thumbs/ow7gk2za0hpdbxhkf2hyc6nkq.gif,86,3
newmexicost,New Mexico St.,http://www.nmstatesports.com/,138,2,1,1.75,http://content.sportslogos.net/logos/33/770/thumbs/uwgvmw8t7zf3og4x3w6w.gif,86,2
memphis,Memphis,http://www.gotigersgo.com/,169,4,2,1.4,http://content.sportslogos.net/logos/32/746/thumbs/pep4eclqlq0phflhok70y3u41.gif,43,3
stmarys,St. Mary's (Cal.),http://www.smcgaels.com/,214,1,1,2.79,http://content.sportslogos.net/logos/34/852/thumbs/mfhe5ysvfgzgt0wxt8hcz89pv.gif,82,2
michiganst,Michigan State,http://www.msuspartans.com/,125,1,2,1.5,http://content.sportslogos.net/logos/32/751/thumbs/75115971983.gif,89,4
valparaiso,Valparaiso,http://www.valpoathletics.com/,87,1,1,1.96,http://content.sportslogos.net/logos/35/894/thumbs/89418392011.gif,95,2
creighton,Creighton,http://www.gocreighton.com/,111,1,3,1.68,http://content.sportslogos.net/logos/30/652/thumbs/6848.gif,83,3
cincinatti,Cincinnati,http://www.gobearcats.com/,145,3,2,2.91,http://content.sportslogos.net/logos/30/642/thumbs/7482.gif,24,2
duke,Duke,http://www.goduke.com/,140,1,1,2.56,http://content.sportslogos.net/logos/31/663/thumbs/2469.gif,89,5
albany,Albany,http://ualbanysports.com/,86,2,1,7.78,http://content.sportslogos.net/logos/30/818/thumbs/6xphr3emv09yycqubxgishdmn.gif,60,2
,,,,,,,,,
,South,,,,,,,,
kansas,Kansas,http://www.kuathletics.com/,144,3,2,1.21,http://content.sportslogos.net/logos/32/718/thumbs/t96oee4doe8n2oxaft7f.gif,69,4
westernky,Western Ky.,http://www.wkusports.com/,107,4,1,5.17,http://content.sportslogos.net/logos/35/909/thumbs/45vahaduw2h85i3nqehdgn7xq.gif,34,2
ncarolina,N. Carolina,http://www.goheels.com/,146,1,1,2.72,http://content.sportslogos.net/logos/33/775/thumbs/2682.gif,88,3
villanova,Villanova,http://www.villanova.com/,139,4,2,2.35,http://content.sportslogos.net/logos/35/897/thumbs/a28cvg370vfg03yepefh.gif,22,2
vcu,VCU,http://www.vcuathletics.com/,106,1,1,3.59,http://content.sportslogos.net/logos/35/899/thumbs/2fikko05yx3deynbexfeivj1c.gif,89,3
akron,Akron,http://www.gozips.com/,419,2,1,10.25,http://content.sportslogos.net/logos/30/596/thumbs/dqgn58lf6tk45hwges1g3h5xg.gif,-158,2
michigan,Michigan,http://www.mgoblue.com/,144,3,2,1.5,http://content.sportslogos.net/logos/32/750/thumbs/75075012012.gif,61,7
sdakotast,S. Dak St.,http://www.gojacks.com/,145,2,1,1.62,http://content.sportslogos.net/logos/34/836/thumbs/rx5rkctzeni2o4nxdsl4ftgw9.gif,86,2
ucla,UCLA,http://www.uclabruins.com/,68,5,2,1.53,http://content.sportslogos.net/logos/35/882/thumbs/f14dh4p8ot36v1exxoazhf03a.gif,69,2
minnesota,Minnesota,http://gophersports.com,136,3,2,2.11,http://content.sportslogos.net/logos/32/753/thumbs/r8cdw98hpgz0sevha7ejthble.gif,48,3
florida,Florida,http://www.gatorzone.com/,94,1,1,2.19,http://content.sportslogos.net/logos/31/675/thumbs/be5cf8elejg8ha3fsgfo6gis2.gif,94,5
nwesternst,Northwestern St.,http://www.nsudemons.com/,106,1,3,3.85,http://content.sportslogos.net/logos/33/788/thumbs/zh30nzg6okshxvz21nskqwkyk.gif,63,2
sandiegost,San Diego St.,http://goaztecs.cstv.com/,507,6,2,2.33,http://content.sportslogos.net/logos/34/826/thumbs/pep2fucfegmv5ngort1u.gif,-325,3
oklahoma,Oklahoma,http://www.soonersports.com/,133,2,2,2.09,http://content.sportslogos.net/logos/33/793/thumbs/f9hclkzyftlynvgb1wgf.gif,67,2
georgetown,Georgetown,http://www.guhoyas.com/,107,3,2,2.37,http://content.sportslogos.net/logos/31/686/thumbs/41oxa3jgd3ht8c7a6zf2hbf99.gif,54,2
